Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
MMM,MMM160610C00162500,162.50,4.45,6.040194959362479,6.040194959362479,6.040194959361325,6.0401948571280935,6.040193117875678,6.040194959335522,6.040194959353744,6.040194959350145
MMM,MMM160610C00165000,165.00,3.28,3.542659497198825,3.542659497198825,3.5426594971976857,3.5426593949644563,3.5426576557120377,3.5426594971718846,3.5426594971901015,3.5426594971969037
MMM,MMM160610C00167500,167.50,1.68,1.0451240350351707,1.0451240350351707,1.0451240350340452,1.0451239328008155,1.0451221935483954,1.045124035008243,1.0451240350264608,1.0451240350223263
MMM,MMM160610C00170000,170.00,0.37,2.6154050537120875e-47,2.6154050537120875e-47,2.79954017127651e-49,1.8292552697760964e-50,2.9970579176129078e-52,2.669197208082821e-50,2.795924726411069e-49,2.625415092096639e-47
MMM,MMM160610C00172500,172.50,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.585543e-318
MMM,MMM160610C00175000,175.00,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160610C00180000,180.00,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160610C00190000,190.00,0.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXP,AXP160610C00060000,60.00,5.86,5.539148908072299,5.539148908072299,5.539148908071681,5.539148868375329,5.539146380004455,5.539148907941447,5.53914890806889,5.5391489080686265
AXP,AXP160610C00062000,62.00,3.09,3.541120538341376,3.541120538341376,3.5411205383407687,3.541120498644415,3.5411180102735407,3.5411205382105355,3.5411205383379754,3.5411205383398445
AXP,AXP160610C00062500,62.50,1.75,3.0416134459086455,3.0416134459086455,3.0416134459080406,3.0416134062116833,3.041610917840815,3.0416134457778066,3.0416134459052473,3.041613445905863
AXP,AXP160610C00063000,63.00,2.57,2.5421063534759143,2.5421063534759143,2.5421063534753126,2.5421063137789566,2.5421038254080845,2.5421063533450785,2.542106353472522,2.542106353475281
AXP,AXP160610C00063500,63.50,2.63,2.0425992610431836,2.0425992610431836,2.042599261042586,2.0425992213462285,2.04259673297536,2.0425992609123504,2.042599261039794,2.0425992610416954
AXP,AXP160610C00064000,64.00,2.00,1.5430921686104528,1.5430921686104528,1.5430921686098562,1.5430921289135016,1.5430896405426298,1.5430921684796215,1.5430921686070653,1.543092168604139
AXP,AXP160610C00064500,64.50,0.73,1.043585076177729,1.043585076177729,1.0435850761771301,1.0435850364807755,1.0435825481099028,1.0435850760468963,1.043585076174339,1.043585076171603
AXP,AXP160610C00065000,65.00,0.58,0.5440805834361269,0.5440805834361269,0.5440805095377621,0.5440805118375174,0.5440776747263384,0.5440805571577487,0.5440805133390143,0.5440805834897969
AXP,AXP160610C00065500,65.50,0.55,0.08256597120001485,0.08256597120001485,0.08256526319873733,0.08257863547098551,0.08212241613130702,0.08258548560770611,0.08256035601737105,0.08256596732214355
AXP,AXP160610C00066000,66.00,0.29,3.3291786150505355e-05,3.3291786150505355e-05,3.276903258605646e-05,3.2647708058124395e-05,2.978753016645146e-05,3.269588059425013e-05,3.28163779264612e-05,3.3292152099329245e-05
AXP,AXP160610C00066500,66.50,0.12,5.494613081282618e-13,5.494613081282618e-13,4.509440512003122e-13,4.2137968548027227e-13,3.050401662464213e-13,4.24126974094111e-13,4.504946717439252e-13,5.495652396773382e-13
